 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2005;Miles de Dolares FOB;149.965;138.274;314.010;77.294
1/02/2005;Miles de Dolares FOB;140.817;222.633;348.719;53.681
1/03/2005;Miles de Dolares FOB;147.743;215.448;437.833;71.348
1/04/2005;Miles de Dolares FOB;123.831;202.737;368.911;56.784
1/05/2005;Miles de Dolares FOB;122.879;226.804;414.302;45.315
1/06/2005;Miles de Dolares FOB;131.158;392.556;495.986;89.890
1/07/2005;Miles de Dolares FOB;104.359;97.141;482.652;69.784
1/08/2005;Miles de Dolares FOB;108.486;166.417;623.704;48.549
1/09/2005;Miles de Dolares FOB;93.856;215.607;551.757;64.448
1/10/2005;Miles de Dolares FOB;80.625;222.605;508.206;59.257
1/11/2005;Miles de Dolares FOB;118.096;225.019;481.568;48.654
1/12/2005;Miles de Dolares FOB;150.320;229.080;531.736;52.153
1/01/2005;Toneladas Metricas;69.870;2.796.869;1.209.468;15.077
1/02/2005;Toneladas Metricas;62.748;4.956.191;1.230.908;10.369
1/03/2005;Toneladas Metricas;60.923;4.740.944;1.464.282;12.583
1/04/2005;Toneladas Metricas;47.027;4.291.333;1.177.252;9.980
1/05/2005;Toneladas Metricas;44.603;4.834.214;1.420.834;7.472
1/06/2005;Toneladas Metricas;47.900;8.393.583;1.446.310;14.048
1/07/2005;Toneladas Metricas;39.327;1.890.584;1.401.862;11.691
1/08/2005;Toneladas Metricas;43.051;3.440.654;1.611.386;9.209
1/09/2005;Toneladas Metricas;39.382;4.540.474;1.303.502;12.001
1/10/2005;Toneladas Metricas;36.613;4.886.501;1.477.474;11.664
1/11/2005;Toneladas Metricas;52.368;4.806.645;1.485.180;10.947
1/12/2005;Toneladas Metricas;65.399;4.822.643;1.608.379;12.183
