 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2002;Miles de Dolares FOB;53.876;96.237;218.527;21.980
1/02/2002;Miles de Dolares FOB;62.243;98.987;237.387;20.014
1/03/2002;Miles de Dolares FOB;58.116;90.202;246.574;15.584
1/04/2002;Miles de Dolares FOB;57.740;103.496;305.545;21.649
1/05/2002;Miles de Dolares FOB;66.293;97.979;243.044;25.202
1/06/2002;Miles de Dolares FOB;61.720;45.232;297.260;12.519
1/07/2002;Miles de Dolares FOB;51.509;55.598;272.543;29.930
1/08/2002;Miles de Dolares FOB;58.030;81.943;244.872;24.020
1/09/2002;Miles de Dolares FOB;48.825;75.610;317.654;24.629
1/10/2002;Miles de Dolares FOB;61.988;51.478;319.304;27.030
1/11/2002;Miles de Dolares FOB;87.943;128.422;222.969;28.268
1/12/2002;Miles de Dolares FOB;103.918;65.332;349.525;20.704
1/01/2002;Toneladas Metricas;39.805;3.073.961;1.753.341;10.494
1/02/2002;Toneladas Metricas;49.336;2.937.622;1.804.059;9.460
1/03/2002;Toneladas Metricas;43.693;2.870.152;1.596.225;6.886
1/04/2002;Toneladas Metricas;41.740;3.232.312;1.851.151;9.313
1/05/2002;Toneladas Metricas;46.740;3.125.628;1.396.412;10.715
1/06/2002;Toneladas Metricas;44.581;1.495.129;1.897.243;5.498
1/07/2002;Toneladas Metricas;38.235;1.788.549;1.650.014;12.143
1/08/2002;Toneladas Metricas;44.742;2.636.625;1.370.500;9.770
1/09/2002;Toneladas Metricas;39.642;2.587.070;1.704.964;10.165
1/10/2002;Toneladas Metricas;46.415;1.716.017;1.740.509;11.357
1/11/2002;Toneladas Metricas;64.679;4.398.198;1.384.806;11.359
1/12/2002;Toneladas Metricas;71.431;2.279.145;1.892.951;8.073
