 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2003;Miles de Dolares FOB;62.725;95.961;297.371;36.228
1/02/2003;Miles de Dolares FOB;71.059;73.997;281.612;26.635
1/03/2003;Miles de Dolares FOB;57.336;76.023;294.370;27.095
1/04/2003;Miles de Dolares FOB;63.745;167.794;241.924;35.183
1/05/2003;Miles de Dolares FOB;58.446;250.347;261.172;28.917
1/06/2003;Miles de Dolares FOB;71.447;47.319;298.640;37.668
1/07/2003;Miles de Dolares FOB;69.655;190.628;323.218;29.838
1/08/2003;Miles de Dolares FOB;56.196;91.785;308.629;38.286
1/09/2003;Miles de Dolares FOB;59.337;103.999;234.009;31.945
1/10/2003;Miles de Dolares FOB;71.656;140.949;305.846;39.952
1/11/2003;Miles de Dolares FOB;76.704;116.736;245.377;38.599
1/12/2003;Miles de Dolares FOB;91.024;66.488;291.072;45.882
1/01/2003;Toneladas Metricas;43.297;3.161.841;1.384.029;13.067
1/02/2003;Toneladas Metricas;49.810;2.571.315;1.264.307;9.442
1/03/2003;Toneladas Metricas;40.086;2.698.229;1.483.171;8.760
1/04/2003;Toneladas Metricas;47.096;6.090.616;1.449.987;12.487
1/05/2003;Toneladas Metricas;42.186;9.283.492;1.462.066;10.826
1/06/2003;Toneladas Metricas;51.632;1.690.239;1.605.624;13.212
1/07/2003;Toneladas Metricas;50.673;6.916.945;1.624.850;9.752
1/08/2003;Toneladas Metricas;40.011;3.324.582;1.549.824;12.781
1/09/2003;Toneladas Metricas;41.200;3.630.612;1.279.586;10.181
1/10/2003;Toneladas Metricas;49.882;5.168.460;1.598.190;11.031
1/11/2003;Toneladas Metricas;54.818;4.159.463;1.227.324;9.954
1/12/2003;Toneladas Metricas;64.655;2.296.797;1.424.243;10.703
