 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1996;Miles de Dolares FOB;101.090;34.459;195.447;7.337
1/02/1996;Miles de Dolares FOB;109.136;78.541;178.465;24.262
1/03/1996;Miles de Dolares FOB;135.529;63.681;265.200;10.155
1/04/1996;Miles de Dolares FOB;130.645;79.518;273.468;4.815
1/05/1996;Miles de Dolares FOB;139.898;51.306;253.884;23.596
1/06/1996;Miles de Dolares FOB;138.786;92.878;214.360;13.532
1/07/1996;Miles de Dolares FOB;139.728;60.519;236.404;14.900
1/08/1996;Miles de Dolares FOB;118.061;65.958;208.749;6.614
1/09/1996;Miles de Dolares FOB;108.042;76.842;262.917;10.723
1/10/1996;Miles de Dolares FOB;150.236;82.141;307.212;24.900
1/11/1996;Miles de Dolares FOB;178.140;88.798;260.488;10.060
1/12/1996;Miles de Dolares FOB;129.139;73.913;290.407;21.181
1/01/1996;Toneladas Metricas;44.726;1.034.017;1.589.705;2.156
1/02/1996;Toneladas Metricas;45.736;2.241.074;1.440.787;7.490
1/03/1996;Toneladas Metricas;51.284;1.863.776;1.941.181;3.076
1/04/1996;Toneladas Metricas;47.887;2.362.197;1.834.565;1.479
1/05/1996;Toneladas Metricas;48.361;1.487.338;1.897.703;7.068
1/06/1996;Toneladas Metricas;50.863;2.688.778;1.640.778;4.086
1/07/1996;Toneladas Metricas;50.561;1.801.404;1.757.156;5.004
1/08/1996;Toneladas Metricas;42.133;1.951.028;1.482.561;2.314
1/09/1996;Toneladas Metricas;37.959;2.314.465;1.711.551;3.681
1/10/1996;Toneladas Metricas;59.087;2.362.350;1.891.853;8.279
1/11/1996;Toneladas Metricas;70.957;2.614.410;1.678.858;3.268
1/12/1996;Toneladas Metricas;50.626;2.198.916;1.788.725;7.473
