 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2013;Miles de Dolares FOB;175.146;662.741;2.578.168;60.096
1/02/2013;Miles de Dolares FOB;166.560;334.203;2.651.418;42.043
1/03/2013;Miles de Dolares FOB;123.155;201.997;2.812.058;78.818
1/04/2013;Miles de Dolares FOB;147.430;559.084;2.513.915;65.197
1/05/2013;Miles de Dolares FOB;164.863;696.337;2.780.572;71.594
1/06/2013;Miles de Dolares FOB;135.716;547.634;2.708.749;47.572
1/07/2013;Miles de Dolares FOB;155.635;548.528;2.529.638;48.805
1/08/2013;Miles de Dolares FOB;163.401;595.843;2.925.785;60.931
1/09/2013;Miles de Dolares FOB;148.794;640.605;2.649.740;58.275
1/10/2013;Miles de Dolares FOB;147.850;555.889;2.649.279;49.350
1/11/2013;Miles de Dolares FOB;168.254;574.007;2.807.639;45.436
1/12/2013;Miles de Dolares FOB;187.103;771.031;2.878.893;52.006
1/01/2013;Toneladas Metricas;43.517;6.800.273;3.620.333;10.670
1/02/2013;Toneladas Metricas;42.157;3.533.912;3.635.772;7.187
1/03/2013;Toneladas Metricas;31.850;2.130.292;4.032.947;13.654
1/04/2013;Toneladas Metricas;39.340;6.055.004;3.802.551;11.362
1/05/2013;Toneladas Metricas;44.704;8.006.446;4.190.890;14.241
1/06/2013;Toneladas Metricas;37.198;6.347.297;4.089.082;9.944
1/07/2013;Toneladas Metricas;44.547;6.106.887;3.736.606;10.640
1/08/2013;Toneladas Metricas;48.351;7.429.706;4.136.622;14.029
1/09/2013;Toneladas Metricas;45.518;8.225.059;3.914.728;13.017
1/10/2013;Toneladas Metricas;46.574;6.356.430;3.939.949;11.098
1/11/2013;Toneladas Metricas;55.377;6.704.149;4.187.473;10.696
1/12/2013;Toneladas Metricas;63.687;8.957.440;4.363.435;12.299
