 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1997;Miles de Dolares FOB;138.401;58.266;252.724;7.191
1/02/1997;Miles de Dolares FOB;159.013;73.252;198.861;24.334
1/03/1997;Miles de Dolares FOB;133.042;57.222;220.229;6.594
1/04/1997;Miles de Dolares FOB;174.732;92.060;248.761;10.073
1/05/1997;Miles de Dolares FOB;273.504;82.809;195.232;13.379
1/06/1997;Miles de Dolares FOB;231.576;46.503;201.537;11.693
1/07/1997;Miles de Dolares FOB;182.531;126.940;181.258;25.436
1/08/1997;Miles de Dolares FOB;157.266;88.521;225.850;8.484
1/09/1997;Miles de Dolares FOB;205.161;72.048;189.433;20.483
1/10/1997;Miles de Dolares FOB;165.542;57.482;249.680;1.486
1/11/1997;Miles de Dolares FOB;172.285;62.445;281.027;19.910
1/12/1997;Miles de Dolares FOB;268.115;70.351;262.548;11.489
1/01/1997;Toneladas Metricas;55.912;1.714.147;1.639.075;2.735
1/02/1997;Toneladas Metricas;62.802;2.194.113;1.492.815;7.716
1/03/1997;Toneladas Metricas;40.490;1.667.915;1.784.176;1.870
1/04/1997;Toneladas Metricas;46.513;2.683.148;2.116.941;2.900
1/05/1997;Toneladas Metricas;64.017;2.352.954;1.648.662;4.148
1/06/1997;Toneladas Metricas;52.526;1.383.895;1.775.714;3.494
1/07/1997;Toneladas Metricas;44.034;3.642.068;1.567.152;8.189
1/08/1997;Toneladas Metricas;34.633;2.528.280;1.917.700;2.705
1/09/1997;Toneladas Metricas;52.951;2.131.374;1.574.418;6.759
1/10/1997;Toneladas Metricas;41.356;1.725.387;1.911.959;499
1/11/1997;Toneladas Metricas;48.096;1.839.182;2.278.337;7.067
1/12/1997;Toneladas Metricas;74.087;2.024.041;2.330.160;4.399
