 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1992;Miles de Dolares FOB;108864;39350;130960;2580
1/02/1992;Miles de Dolares FOB;114799;56116;102964;17023
1/03/1992;Miles de Dolares FOB;89464;11971;139098;6689
1/04/1992;Miles de Dolares FOB;113535;54218;123237;2160
1/05/1992;Miles de Dolares FOB;118170;36989;126696;20406
1/06/1992;Miles de Dolares FOB;127089;37008;96352;13221
1/07/1992;Miles de Dolares FOB;94024;63143;143865;7911
1/08/1992;Miles de Dolares FOB;91550;28700;140224;4136
1/09/1992;Miles de Dolares FOB;74542;51670;125583;24414
1/10/1992;Miles de Dolares FOB;85360;50421;152280;9982
1/11/1992;Miles de Dolares FOB;113037;57721;54879;9429
1/12/1992;Miles de Dolares FOB;128413;68122;76805;7204
1/01/1992;Toneladas Metricas;67119;1085408;1327509;1119
1/02/1992;Toneladas Metricas;73666;1491174;1013885;6667
1/03/1992;Toneladas Metricas;61685;324415;1349665;2555
1/04/1992;Toneladas Metricas;81761;1410411;1110176;773
1/05/1992;Toneladas Metricas;86318;963402;1128888;7698
1/06/1992;Toneladas Metricas;99106;964840;770133;5091
1/07/1992;Toneladas Metricas;75940;1645281;1165882;3061
1/08/1992;Toneladas Metricas;76846;742083;1181742;1537
1/09/1992;Toneladas Metricas;66725;1390825;1030560;8555
1/10/1992;Toneladas Metricas;80782;1325570;1192537;3667
1/11/1992;Toneladas Metricas;95215;1562868;474294;3849
1/12/1992;Toneladas Metricas;101672;1886992;720154;3476
