 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2001;Miles de Dolares FOB;54.386;81.794;353.137;37.418
1/02/2001;Miles de Dolares FOB;70.266;78.809;298.192;15.102
1/03/2001;Miles de Dolares FOB;51.257;113.146;228.768;20.728
1/04/2001;Miles de Dolares FOB;62.645;158.985;286.872;17.162
1/05/2001;Miles de Dolares FOB;65.044;111.502;278.404;19.239
1/06/2001;Miles de Dolares FOB;65.503;102.442;241.837;21.898
1/07/2001;Miles de Dolares FOB;55.905;70.892;231.077;20.314
1/08/2001;Miles de Dolares FOB;50.639;102.305;388.796;21.038
1/09/2001;Miles de Dolares FOB;40.906;104.201;340.703;12.867
1/10/2001;Miles de Dolares FOB;72.916;102.844;227.361;18.506
1/11/2001;Miles de Dolares FOB;90.464;93.756;161.474;11.186
1/12/2001;Miles de Dolares FOB;83.911;76.338;248.443;19.771
1/01/2001;Toneladas Metricas;36.507;2.989.613;1.959.597;11.233
1/02/2001;Toneladas Metricas;47.043;2.840.020;1.657.436;5.092
1/03/2001;Toneladas Metricas;33.656;3.944.727;1.376.092;8.140
1/04/2001;Toneladas Metricas;42.050;5.357.115;1.656.916;6.962
1/05/2001;Toneladas Metricas;40.751;3.543.946;1.589.919;7.037
1/06/2001;Toneladas Metricas;41.585;3.173.029;1.425.337;7.372
1/07/2001;Toneladas Metricas;36.605;2.097.367;1.346.915;7.924
1/08/2001;Toneladas Metricas;35.358;3.092.531;2.268.413;9.356
1/09/2001;Toneladas Metricas;39.368;3.262.855;2.127.207;5.573
1/10/2001;Toneladas Metricas;63.413;3.169.490;1.609.222;9.231
1/11/2001;Toneladas Metricas;71.051;2.836.449;1.309.885;6.216
1/12/2001;Toneladas Metricas;68.879;2.478.025;2.039.459;10.833
