 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1993;Miles de Dolares FOB;107.955;35.892;131.310;7.677
1/02/1993;Miles de Dolares FOB;104.849;59.607;119.855;11.527
1/03/1993;Miles de Dolares FOB;89.603;54.101;124.330;13.163
1/04/1993;Miles de Dolares FOB;84.110;11.886;130.698;4.995
1/05/1993;Miles de Dolares FOB;80.975;62.353;119.389;6.534
1/06/1993;Miles de Dolares FOB;77.127;51.353;126.702;11.278
1/07/1993;Miles de Dolares FOB;71.176;24.932;105.731;7.842
1/08/1993;Miles de Dolares FOB;73.533;44.487;78.962;13.046
1/09/1993;Miles de Dolares FOB;81.930;46.293;108.988;2.161
1/10/1993;Miles de Dolares FOB;96.249;72.393;137.161;8.638
1/11/1993;Miles de Dolares FOB;133.129;42.498;87.979;9.266
1/12/1993;Miles de Dolares FOB;139.232;58.620;52.155;5.771
1/01/1993;Toneladas Metricas;68736;1033552;1276354;3470
1/02/1993;Toneladas Metricas;80442;1698797;1045979;5047
1/03/1993;Toneladas Metricas;68711;1537737;1067458;5675
1/04/1993;Toneladas Metricas;68063;321949;1137463;2199
1/05/1993;Toneladas Metricas;68357;1903672;1070293;2830
1/06/1993;Toneladas Metricas;57684;1563757;1197147;5049
1/07/1993;Toneladas Metricas;51819;792970;1054852;3630
1/08/1993;Toneladas Metricas;47580;1387043;802599;6606
1/09/1993;Toneladas Metricas;51014;1487429;1102519;1047
1/10/1993;Toneladas Metricas;58619;2567257;1350101;4490
1/11/1993;Toneladas Metricas;79377;1454964;996133;5718
1/12/1993;Toneladas Metricas;81857;1967556;661010;3619
