 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2000;Miles de Dolares FOB;76.737;30.545;422.416;20.975
1/02/2000;Miles de Dolares FOB;92.832;107.060;400.119;18.473
1/03/2000;Miles de Dolares FOB;52.621;101.773;371.583;26.212
1/04/2000;Miles de Dolares FOB;98.781;37.121;349.699;15.310
1/05/2000;Miles de Dolares FOB;77.434;71.266;433.069;23.085
1/06/2000;Miles de Dolares FOB;107.268;102.805;392.918;17.440
1/07/2000;Miles de Dolares FOB;84.005;44.586;420.233;17.237
1/08/2000;Miles de Dolares FOB;112.012;62.800;432.064;18.903
1/09/2000;Miles de Dolares FOB;69.345;81.748;363.020;16.594
1/10/2000;Miles de Dolares FOB;83.992;21.069;344.809;15.448
1/11/2000;Miles de Dolares FOB;120.331;50.091;450.029;10.488
1/12/2000;Miles de Dolares FOB;91.993;182.018;395.529;11.238
1/01/2000;Toneladas Metricas;28.357;1.173.078;2.353.299;5.552
1/02/2000;Toneladas Metricas;35.528;4.180.511;2.071.422;4.907
1/03/2000;Toneladas Metricas;21.356;3.862.423;2.017.489;5.788
1/04/2000;Toneladas Metricas;40.759;1.446.206;2.063.813;3.295
1/05/2000;Toneladas Metricas;33.934;2.705.460;2.338.221;5.214
1/06/2000;Toneladas Metricas;48.444;4.113.569;1.939.481;3.888
1/07/2000;Toneladas Metricas;39.833;1.722.625;2.209.297;4.763
1/08/2000;Toneladas Metricas;53.436;2.363.036;2.130.493;5.018
1/09/2000;Toneladas Metricas;37.228;3.033.393;1.638.038;4.377
1/10/2000;Toneladas Metricas;47.161;699.872;1.611.258;4.290
1/11/2000;Toneladas Metricas;68.527;1.783.046;2.100.057;3.414
1/12/2000;Toneladas Metricas;59.493;6.724.229;2.243.707;3.774
