 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2011;Miles de Dolares FOB;283.058;710.358;1.638.081;81.982
1/02/2011;Miles de Dolares FOB;256.080;577.724;1.832.982;82.660
1/03/2011;Miles de Dolares FOB;292.884;500.019;2.493.160;48.962
1/04/2011;Miles de Dolares FOB;274.182;629.002;2.478.542;61.896
1/05/2011;Miles de Dolares FOB;189.061;866.678;2.529.625;70.305
1/06/2011;Miles de Dolares FOB;213.283;641.957;2.364.291;54.939
1/07/2011;Miles de Dolares FOB;151.191;777.822;2.539.515;31.848
1/08/2011;Miles de Dolares FOB;151.735;879.851;2.356.390;72.948
1/09/2011;Miles de Dolares FOB;129.705;804.024;2.174.985;91.102
1/10/2011;Miles de Dolares FOB;157.416;596.393;2.543.479;95.367
1/11/2011;Miles de Dolares FOB;238.130;656.335;2.728.825;71.481
1/12/2011;Miles de Dolares FOB;271.641;756.701;2.740.789;63.128
1/01/2011;Toneladas Metricas;52.879;7.685.149;2.834.403;11.005
1/02/2011;Toneladas Metricas;45.019;6.098.333;3.043.986;10.235
1/03/2011;Toneladas Metricas;48.386;5.144.353;3.611.426;8.783
1/04/2011;Toneladas Metricas;43.904;5.924.008;3.234.117;6.245
1/05/2011;Toneladas Metricas;29.552;8.442.614;3.460.365;7.997
1/06/2011;Toneladas Metricas;32.960;5.852.083;3.390.341;7.151
1/07/2011;Toneladas Metricas;23.776;7.144.267;3.614.035;4.251
1/08/2011;Toneladas Metricas;23.893;8.442.705;3.543.228;9.018
1/09/2011;Toneladas Metricas;20.061;7.245.766;3.168.178;12.425
1/10/2011;Toneladas Metricas;25.214;5.724.206;3.625.103;13.067
1/11/2011;Toneladas Metricas;39.590;6.099.479;3.645.376;10.932
1/12/2011;Toneladas Metricas;45.973;7.422.047;3.835.406;10.541
