 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2007;Miles de Dolares FOB;152.100;274.476;445.705;24.836
1/02/2007;Miles de Dolares FOB;148.170;250.769;348.735;64.996
1/03/2007;Miles de Dolares FOB;138.155;413.279;529.720;50.803
1/04/2007;Miles de Dolares FOB;109.169;405.135;526.548;295.413
1/05/2007;Miles de Dolares FOB;119.161;303.256;587.088;368.552
1/06/2007;Miles de Dolares FOB;124.745;122.921;474.084;200.978
1/07/2007;Miles de Dolares FOB;150.480;386.332;721.435;111.829
1/08/2007;Miles de Dolares FOB;147.663;390.043;588.361;105.554
1/09/2007;Miles de Dolares FOB;132.467;163.037;729.650;68.077
1/10/2007;Miles de Dolares FOB;138.191;163.528;677.832;93.715
1/11/2007;Miles de Dolares FOB;153.639;321.880;852.834;118.261
1/12/2007;Miles de Dolares FOB;215.484;409.229;840.943;210.545
1/01/2007;Toneladas Metricas;55.317;5.612.068;1.432.834;2.275
1/02/2007;Toneladas Metricas;54.820;5.203.767;1.020.750;5.626
1/03/2007;Toneladas Metricas;51.669;8.331.865;1.482.046;4.367
1/04/2007;Toneladas Metricas;41.560;8.426.806;1.379.582;23.598
1/05/2007;Toneladas Metricas;46.326;6.105.009;1.408.756;24.080
1/06/2007;Toneladas Metricas;48.751;2.433.899;1.218.466;11.492
1/07/2007;Toneladas Metricas;58.357;7.622.522;1.550.162;7.062
1/08/2007;Toneladas Metricas;55.958;7.315.021;1.329.788;8.833
1/09/2007;Toneladas Metricas;48.717;2.992.846;1.507.002;6.988
1/10/2007;Toneladas Metricas;48.331;2.882.768;1.336.151;9.759
1/11/2007;Toneladas Metricas;53.346;5.791.556;1.556.287;12.052
1/12/2007;Toneladas Metricas;74.291;7.195.649;1.499.912;21.265
