 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2004;Miles de Dolares FOB;73.174;205.160;315.577;57.773
1/02/2004;Miles de Dolares FOB;82.951;59.110;242.357;50.827
1/03/2004;Miles de Dolares FOB;77.502;62.048;329.365;58.641
1/04/2004;Miles de Dolares FOB;72.107;137.880;282.544;54.642
1/05/2004;Miles de Dolares FOB;68.992;115.307;363.896;59.314
1/06/2004;Miles de Dolares FOB;75.776;153.393;372.968;29.982
1/07/2004;Miles de Dolares FOB;79.767;211.075;376.732;56.135
1/08/2004;Miles de Dolares FOB;66.551;157.888;349.022;60.102
1/09/2004;Miles de Dolares FOB;39.668;184.136;415.669;64.837
1/10/2004;Miles de Dolares FOB;85.451;178.351;449.381;34.429
1/11/2004;Miles de Dolares FOB;97.188;218.645;334.777;51.548
1/12/2004;Miles de Dolares FOB;137.115;176.080;395.132;58.436
1/01/2004;Toneladas Metricas;50.607;6.721.368;1.599.314;10.324
1/02/2004;Toneladas Metricas;54.158;1.872.667;1.165.581;9.378
1/03/2004;Toneladas Metricas;49.133;1.767.073;1.581.345;10.678
1/04/2004;Toneladas Metricas;44.858;4.332.053;1.285.210;10.898
1/05/2004;Toneladas Metricas;43.688;3.408.218;1.493.391;13.649
1/06/2004;Toneladas Metricas;45.197;4.449.141;1.605.567;6.937
1/07/2004;Toneladas Metricas;46.229;5.719.858;1.503.132;11.113
1/08/2004;Toneladas Metricas;39.904;4.232.620;1.371.072;11.711
1/09/2004;Toneladas Metricas;23.564;4.969.036;1.478.867;12.787
1/10/2004;Toneladas Metricas;48.309;4.336.219;1.522.181;7.253
1/11/2004;Toneladas Metricas;53.636;5.163.857;1.222.324;10.080
1/12/2004;Toneladas Metricas;69.274;4.217.995;1.661.695;11.068
