 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/1994;Miles de Dolares FOB;86.556;40.717;102.175;4.707
1/02/1994;Miles de Dolares FOB;83.641;44.042;110.672;19.725
1/03/1994;Miles de Dolares FOB;86.751;46.046;99.217;1.140
1/04/1994;Miles de Dolares FOB;105.644;47.650;102.788;12.605
1/05/1994;Miles de Dolares FOB;114.192;39.748;67.246;7.362
1/06/1994;Miles de Dolares FOB;176.743;46.934;114.334;12.778
1/07/1994;Miles de Dolares FOB;209.853;25.256;117.821;9.520
1/08/1994;Miles de Dolares FOB;235.517;89.828;132.112;1.030
1/09/1994;Miles de Dolares FOB;225.351;37.281;106.149;16.345
1/10/1994;Miles de Dolares FOB;241.211;17.065;125.007;10.960
1/11/1994;Miles de Dolares FOB;239.045;62.567;106.460;3.249
1/12/1994;Miles de Dolares FOB;185.632;52.699;128.743;19.361
1/01/1994;Toneladas Metricas;50559;1394910;1182858;2703
1/02/1994;Toneladas Metricas;48866;1530725;1243733;9707
1/03/1994;Toneladas Metricas;48294;1518359;1148188;544
1/04/1994;Toneladas Metricas;56965;1543198;1094655;6145
1/05/1994;Toneladas Metricas;58854;1292346;673519;3413
1/06/1994;Toneladas Metricas;67930;1550013;1011040;5503
1/07/1994;Toneladas Metricas;68655;845673;993934;3520
1/08/1994;Toneladas Metricas;58087;3080967;1238865;405
1/09/1994;Toneladas Metricas;49927;1316844;1060364;7349
1/10/1994;Toneladas Metricas;55275;554258;1225494;4512
1/11/1994;Toneladas Metricas;58303;2136237;1019326;1229
1/12/1994;Toneladas Metricas;50530;1770550;1235658;6424
