 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2010;Miles de Dolares FOB;132.034;504.215;1.204.788;57.966
1/02/2010;Miles de Dolares FOB;121.786;408.572;1.187.707;81.004
1/03/2010;Miles de Dolares FOB;155.465;464.792;1.260.767;57.391
1/04/2010;Miles de Dolares FOB;128.847;504.968;1.496.446;111.596
1/05/2010;Miles de Dolares FOB;156.524;659.279;1.282.923;95.655
1/06/2010;Miles de Dolares FOB;147.878;571.396;1.194.244;92.246
1/07/2010;Miles de Dolares FOB;127.907;449.656;1.452.874;73.434
1/08/2010;Miles de Dolares FOB;134.257;579.947;1.434.214;65.005
1/09/2010;Miles de Dolares FOB;127.007;430.313;1.348.053;68.177
1/10/2010;Miles de Dolares FOB;161.075;538.698;1.498.700;95.256
1/11/2010;Miles de Dolares FOB;205.473;488.703;1.487.708;76.047
1/12/2010;Miles de Dolares FOB;285.303;414.644;1.653.200;93.561
1/01/2010;Toneladas Metricas;33.562;6.192.523;2.330.376;10.196
1/02/2010;Toneladas Metricas;29.957;5.371.358;2.441.229;14.206
1/03/2010;Toneladas Metricas;37.346;5.606.607;2.458.580;9.748
1/04/2010;Toneladas Metricas;30.351;5.848.252;2.871.615;16.834
1/05/2010;Toneladas Metricas;36.687;8.386.488;2.744.664;11.760
1/06/2010;Toneladas Metricas;34.824;6.927.081;2.514.665;12.571
1/07/2010;Toneladas Metricas;28.033;5.568.822;2.984.472;11.574
1/08/2010;Toneladas Metricas;27.601;6.803.518;2.929.429;10.018
1/09/2010;Toneladas Metricas;25.315;5.292.306;2.684.601;9.294
1/10/2010;Toneladas Metricas;31.390;6.169.224;2.896.243;11.945
1/11/2010;Toneladas Metricas;39.805;5.576.499;2.742.007;9.913
1/12/2010;Toneladas Metricas;54.090;4.484.203;2.909.992;12.765
