 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2016;Miles de Dolares FOB;157.586;235.075;655.691;21.296
1/02/2016;Miles de Dolares FOB;179.732;334.132;662.221;17.777
1/03/2016;Miles de Dolares FOB;174.117;274.418;728.716;30.575
1/04/2016;Miles de Dolares FOB;277.374;318.048;732.253;24.176
1/05/2016;Miles de Dolares FOB;148.341;426.822;951.607;31.071
1/06/2016;Miles de Dolares FOB;172.626;397.556;1.083.481;36.804
1/07/2016;Miles de Dolares FOB;126.356;318.518;984.521;13.869
1/08/2016;Miles de Dolares FOB;164.055;654.162;888.572;36.517
1/09/2016;Miles de Dolares FOB;190.426;358.192;1.015.463;28.624
1/10/2016;Miles de Dolares FOB;188.306;382.147;1.013.317;24.058
1/11/2016;Miles de Dolares FOB;214.746;340.821;991.809;34.321
1/12/2016;Miles de Dolares FOB;424.028;598.990;1.087.928;28.677
1/01/2016;Toneladas Metricas;50.796;4.563.426;4.099.192;10.250
1/02/2016;Toneladas Metricas;59.077;7.185.453;3.829.221;8.086
1/03/2016;Toneladas Metricas;57.116;5.790.884;3.506.781;13.382
1/04/2016;Toneladas Metricas;92.283;5.628.710;3.350.926;9.465
1/05/2016;Toneladas Metricas;48.230;7.896.880;3.728.618;12.989
1/06/2016;Toneladas Metricas;54.554;7.417.393;3.919.472;15.419
1/07/2016;Toneladas Metricas;39.095;6.218.363;3.794.673;5.410
1/08/2016;Toneladas Metricas;49.455;11.912.907;3.355.791;12.964
1/09/2016;Toneladas Metricas;55.318;6.567.195;3.722.027;10.142
1/10/2016;Toneladas Metricas;53.599;6.447.841;3.502.198;8.511
1/11/2016;Toneladas Metricas;60.053;5.512.723;3.671.353;12.290
1/12/2016;Toneladas Metricas;113.391;9.986.024;3.454.792;8.834
