 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2006;Miles de Dolares FOB;104.524;219.499;471.390;46.421
1/02/2006;Miles de Dolares FOB;132.320;335.310;410.562;74.037
1/03/2006;Miles de Dolares FOB;132.756;145.674;565.564;52.751
1/04/2006;Miles de Dolares FOB;92.112;243.418;530.051;59.622
1/05/2006;Miles de Dolares FOB;106.351;301.191;603.094;73.626
1/06/2006;Miles de Dolares FOB;119.249;121.482;633.536;94.952
1/07/2006;Miles de Dolares FOB;105.920;181.660;720.522;84.543
1/08/2006;Miles de Dolares FOB;134.772;230.043;563.579;109.819
1/09/2006;Miles de Dolares FOB;127.238;272.999;434.755;92.476
1/10/2006;Miles de Dolares FOB;135.201;348.350;476.007;162.062
1/11/2006;Miles de Dolares FOB;127.787;278.816;404.688;125.803
1/12/2006;Miles de Dolares FOB;153.317;247.979;519.379;130.738
1/01/2006;Toneladas Metricas;44.209;4.581.396;1.307.318;9.792
1/02/2006;Toneladas Metricas;52.285;7.218.841;1.189.386;14.140
1/03/2006;Toneladas Metricas;51.822;2.969.833;1.528.507;9.826
1/04/2006;Toneladas Metricas;36.647;5.040.376;1.262.703;11.393
1/05/2006;Toneladas Metricas;42.451;6.573.323;1.443.991;11.553
1/06/2006;Toneladas Metricas;48.702;2.413.147;1.516.049;12.943
1/07/2006;Toneladas Metricas;44.546;3.857.404;1.649.169;11.301
1/08/2006;Toneladas Metricas;57.321;4.898.208;1.335.228;11.778
1/09/2006;Toneladas Metricas;53.211;5.758.012;1.227.975;8.879
1/10/2006;Toneladas Metricas;56.126;6.916.073;1.449.749;15.833
1/11/2006;Toneladas Metricas;52.192;5.624.191;1.246.035;11.467
1/12/2006;Toneladas Metricas;58.277;5.219.225;1.516.239;11.654
