date;unit_measure;coffee;coal;oil_oilbyproducts;ferronickel
1/01/2017;USDkFOB;227::674;426.885;1.179.658;14.728
1/02/2017;USDkFOB;210[]303;498.033;919.528;437
1/03/2017;USDkFOB;286-_062;616.233;1.040.526;30.851
1/04/2017;USDkFOB;209.099;385.891;1.063.556;4.459
1/05/2017;USDkFOB;187[]682;804.563;1.075.943;62.508
1/06/2017;USDkFOB;132::054;359.358;1.042.656;26.292
1/07/2017;USDkFOB;224-_406;652.621;978.907;5.929
1/08/2017;USDkFOB;202.233;560.126;1.078.869;63.931
1/09/2017;USDkFOB;233.587;834.211;1.042.128;25.659
1/10/2017;USDkFOB;209[]842;554.439;1.236.888;44.222
1/11/2017;USDkFOB;192.744;534.207;1.110.482;48.271
1/12/2017;USDkFOB;197&&817;1.163.429;1.397.578;33.256
1/01/2017;MetricTons;60-_509;6.516.997;3.655.405;4.318
1/02/2017;MetricTons;56.568;6.386.224;2.836.185;332
1/03/2017;MetricTons;77.088;8.683.657;3.297.163;9.592
1/04/2017;MetricTons;57&&973;5.603.903;3.351.406;1.693
1/05/2017;MetricTons;52.450;12.455.878;3.390.710;19.861
1/06/2017;MetricTons;37.825;4.975.521;3.604.211;8.423
1/07/2017;MetricTons;66[]120;10.159.976;3.271.744;2.030
1/08/2017;MetricTons;59.373;8.747.276;3.441.527;21.729
1/09/2017;MetricTons;66::721;12.246.021;3.118.191;8.165
1/10/2017;MetricTons;59.872;7.834.836;3.445.708;11.846
1/11/2017;MetricTons;56::936;6.888.399;3.025.842;13.947
1/12/2017;MetricTons;58&&920;14.736.902;3.591.873;9.021
