 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2009;Miles de Dolares FOB;177.018;668.973;504.771;63.846
1/02/2009;Miles de Dolares FOB;156.676;321.659;455.777;56.709
1/03/2009;Miles de Dolares FOB;146.496;535.507;568.200;58.418
1/04/2009;Miles de Dolares FOB;115.572;415.192;624.797;49.781
1/05/2009;Miles de Dolares FOB;104.809;503.976;784.293;23.213
1/06/2009;Miles de Dolares FOB;140.583;435.527;910.630;53.648
1/07/2009;Miles de Dolares FOB;130.797;475.027;920.545;54.642
1/08/2009;Miles de Dolares FOB;107.656;380.504;1.067.495;50.577
1/09/2009;Miles de Dolares FOB;88.727;436.461;927.495;58.580
1/10/2009;Miles de Dolares FOB;110.827;393.909;1.197.929;89.802
1/11/2009;Miles de Dolares FOB;115.304;392.189;1.114.513;79.484
1/12/2009;Miles de Dolares FOB;148.232;457.461;1.191.057;87.234
1/01/2009;Toneladas Metricas;61.495;7.780.739;2.159.949;18.095
1/02/2009;Toneladas Metricas;53.515;4.176.550;1.918.977;17.186
1/03/2009;Toneladas Metricas;48.967;6.487.239;1.852.600;17.523
1/04/2009;Toneladas Metricas;37.745;5.182.766;1.920.027;15.762
1/05/2009;Toneladas Metricas;30.635;6.304.463;2.108.010;6.789
1/06/2009;Toneladas Metricas;37.426;5.447.194;1.941.299;14.253
1/07/2009;Toneladas Metricas;34.412;6.014.399;2.153.098;13.021
1/08/2009;Toneladas Metricas;27.276;5.183.324;2.353.677;10.189
1/09/2009;Toneladas Metricas;22.643;5.367.593;2.000.475;11.246
1/10/2009;Toneladas Metricas;28.842;5.439.546;2.441.635;15.257
1/11/2009;Toneladas Metricas;30.439;5.318.207;2.207.981;14.241
1/12/2009;Toneladas Metricas;41.361;5.982.290;2.485.002;16.009
