 Fecha ; Unidad medida ; Café ; Carbón ; Petróleo y sus derivados ; Ferroníquel 
1/01/2012;Miles de Dolares FOB;193.363;655.649;2.639.472;67.600
1/02/2012;Miles de Dolares FOB;182.533;694.081;2.617.212;99.836
1/03/2012;Miles de Dolares FOB;198.936;826.672;3.041.024;96.391
1/04/2012;Miles de Dolares FOB;117.856;502.575;3.018.709;63.464
1/05/2012;Miles de Dolares FOB;163.587;807.708;2.705.614;83.153
1/06/2012;Miles de Dolares FOB;158.087;742.093;2.138.876;64.214
1/07/2012;Miles de Dolares FOB;149.067;828.977;2.369.088;54.111
1/08/2012;Miles de Dolares FOB;174.247;393.391;2.324.957;77.887
1/09/2012;Miles de Dolares FOB;118.699;386.565;2.819.053;66.494
1/10/2012;Miles de Dolares FOB;154.733;826.485;2.746.490;46.832
1/11/2012;Miles de Dolares FOB;138.901;575.074;2.412.892;90.235
1/12/2012;Miles de Dolares FOB;159.988;565.919;2.725.547;70.953
1/01/2012;Toneladas Metricas;33.001;6.296.166;3.597.962;10.801
1/02/2012;Toneladas Metricas;32.261;6.573.655;3.343.093;15.005
1/03/2012;Toneladas Metricas;36.730;7.589.148;3.761.471;13.884
1/04/2012;Toneladas Metricas;22.819;4.732.401;3.780.640;9.987
1/05/2012;Toneladas Metricas;32.253;8.108.736;3.887.720;13.730
1/06/2012;Toneladas Metricas;33.234;7.775.746;3.564.486;11.378
1/07/2012;Toneladas Metricas;32.337;8.413.637;3.650.485;9.429
1/08/2012;Toneladas Metricas;38.041;3.698.384;3.277.208;13.485
1/09/2012;Toneladas Metricas;26.859;3.915.094;3.881.063;12.139
1/10/2012;Toneladas Metricas;35.743;8.456.758;3.890.878;7.899
1/11/2012;Toneladas Metricas;32.672;6.029.876;3.509.380;15.628
1/12/2012;Toneladas Metricas;39.567;5.813.427;4.002.070;13.293
